,name,url,hq,headcount
113,Jackson Lewis,http://www.jacksonlewis.com/,"White Plains, N.Y.",351
114,Michael Best & Friedrich,http://www.mbf-law.com/,Milwaukee,349
115,Snell & Wilmer ,http://www.swlaw.com/,Phoenix,349
116,Akerman Senterfitt,http://www.akerman.com/,Miami,347
117,Barnes & Thornburg,http://www.btlaw.com/,Indianapolis,345
118,Stroock & Stroock & Lavan ,http://www.stroock.com/,New York,340
119,Stinson Morrison Hecker,http://www.stinson.com/,"Kansas City, Mo.",337
120,Sheppard Mullin Richter & Hampton,http://www.smrh.com/,Los Angeles,336
121,Kutak Rock,http://www.kutakrock.com/,"Omaha, Neb.",334
122,Epstein Becker & Green,http://www.ebglaw.com/,New York,333
123,Thompson & Knight,http://www.tklaw.com/,Dallas,333
124,Winstead Sechrest & Minick,http://www.winstead.com/,Dallas,333
125,"Lord, Bissell & Brook",,Chicago,325
126,Schulte Roth & Zabel,http://www.srz.com/,New York,325
127,Steptoe & Johnson,http://www.steptoe.com/,"Washington, D.C.",325
128,Sedgwick Detert Moran & Arnold,http://www.sdma.com/,San Francisco,317
129,Dickstein Shapiro ,http://www.dicksteinshapiro.com/,"Washington, D.C.",311
130,Blackwell Sanders Peper Martin,http://www.huschblackwell.com/,"Kansas City, Mo.",301
131,Miller Canfield Paddock and Stone,http://www.millercanfield.com/,Detroit,301
132,Schnader Harrison Segal & Lewis,http://www.schnader.com/,Philadelphia,301
133,Schiff Hardin & Waite,http://www.schiffhardin.com/,Chicago,300
134,Marshall Dennehey Warner Coleman & Goggin ,http://www.marshalldennehey.com/,Philadelphia,298
135,Swidler Berlin Shereff Friedman,,"Washington, D.C.",298
136,Baker & Daniels,http://www.bakerdaniels.com/,Indianapolis,294
137,Jackson Walker,http://www.jw.com/,Dallas,293
138,Edwards Angell Palmer & Dodge,http://www.eapdlaw.com/,Boston,290
139,Powell Goldstein,,Atlanta,290
140,Gardere Wynne Sewell,http://www.gardere.com/,Dallas,288
141,Finnegan Henderson Farabow Garrett & Dunner,http://www.finnegan.com/,"Washington, D.C.",286
142,Fenwick & West,http://www.fenwick.com/,"Palo Alto, Calif.",285
143,Kramer Levin Naftalis & Frankel,http://www.kramer-levin.com/,New York,285
144,Porter Wright Morris & Arthur,http://www.porterwright.com/,"Columbus, Ohio",284
145,Hughes Hubbard & Reed,http://www.hugheshubbard.com/,New York,282
146,Nelson Mullins Riley & Scarborough,http://www.nmrs.com/,"Columbia, S.C.",282
147,Thompson Coburn,http://www.thompsoncoburn.com/,St. Louis,280
148,Fish & Richardson,http://www.fr.com/,Boston,279
149,Husch & Eppenberger,,St. Louis,278
150,Arter & Hadden,,Cleveland,273
151,McCarter & English,http://www.mccarter.com/,"Newark, N.J.",270
152,Crowell & Moring,http://www.crowell.com/,"Washington, D.C.",261
153,Holland & Hart,http://www.hollandhart.com/,Denver,259
154,"Wolf, Block, Schorr and Solis-Cohen",,Philadelphia,259
155,Moore & Van Allen ,http://www.mvalaw.com/,"Charlotte, N.C.",257
156,Foley Hoag,,Boston,256
157,Dinsmore & Shohl ,http://www.dinslaw.com/,Cincinnati,254
158,Dykema Gossett,http://www.dykema.com/,Detroit,252
159,Cahill Gordon & Reindel,http://www.cahill.com/,New York,251
160,Arent Fox Kintner Plotkin & Kahn,http://www.arentfox.com/,"Washington, D.C.",249
